做爱,joy,0.812
做爱,trust,0.562
坐月子,anger,0.531
坐月子,fear,0.507
坐月子,sadness,0.439
坐立不安,fear,0.375
作者,trust,0.469
作战,anger,0.712
作战,fear,0.615
作战,sadness,0.5
作呕,disgust,0.703
作弊,anger,0.63
作弊,disgust,0.508
佐证,trust,0.57
左轮手枪,anger,0.578
左轮手枪,fear,0.672
左轮手枪,sadness,0.453
遵守,anticipation,0.367
遵守,fear,0.016
遵守,trust,0.578
尊重,anticipation,0.438
尊重,joy,0.5
尊重,sadness,0.172
尊重,trust,0.75
尊严,joy,0.5
尊严,trust,0.672
尊敬的,trust,0.734
尊敬,anticipation,0.422
尊敬,joy,0.594
尊敬,trust,0.766
醉,disgust,0.539
罪人,anger,0.331
罪人,disgust,0.594
罪人,fear,0.483
罪人,sadness,0.609
罪孽,disgust,0.445
罪行,anger,0.469
罪行,disgust,0.5
罪行,fear,0.422
罪行,sadness,0.484
最终,anticipation,0.57
最终,sadness,0.109
最幸福,joy,0.986
最可怕的,fear,0.844
最佳,anticipation,0.398
最佳,trust,0.469
最后一分钟,fear,0.219
最后通牒,anger,0.439
最后通牒,fear,0.422
最后期限,fear,0.188
最后,anticipation,0.57
最后,disgust,0.125
最后,joy,0.157
最后,surprise,0.297
最后,trust,0.453
最好的一天,joy,0.938
最好的朋友,joy,0.682
最好的,joy,0.766
最高,anticipation,0.491
最高,fear,0.236
最高,joy,0.591
最高,surprise,0.344
最低,sadness,0.478
钻石,joy,0.5
祖先,joy,0.188
祖先,trust,0.539
祖父,trust,0.68
祖,trust,0.547
组织,anticipation,0.203
组织,joy,0.156
组织,surprise,0.125
组织,trust,0.516
阻挠,anger,0.604
阻挠,disgust,0.352
阻挠,sadness,0.469
阻挠,surprise,0.547
阻碍,anger,0.542
阻碍,fear,0.438
阻碍,sadness,0.422
诅咒,anger,0.906
诅咒,disgust,0.547
诅咒,fear,0.812
诅咒,sadness,0.75
足球,anticipation,0.469
足球,joy,0.25
走私者,anger,0.485
走私者,disgust,0.531
走私者,fear,0.625
走私,fear,0.565
走了,sadness,0.453
走错,fear,0.32
纵火,anger,0.641
纵火,fear,0.794
宗派,anger,0.359
宗派,fear,0.359
宗教,trust,0.469
恣意,anger,0.531
恣意,anticipation,0.5
恣意,fear,0.271
恣意,sadness,0.16
恣意,surprise,0.547
字形,trust,0.352
字母,anticipation,0.398
字母,trust,0.359
字典,trust,0.523
字,trust,0.477
自助餐,anger,0.029
自由,anticipation,0.555
自由,joy,0.561
自由,surprise,0.312
自由,trust,0.742
自以为是,anger,0.359
自相残杀,disgust,0.953
自私,anger,0.469
自私,disgust,0.453
自食其果,anticipation,0.602
自食其果,trust,0.359
自杀,anger,0.636
自杀,disgust,0.695
自杀,fear,0.898
自杀,sadness,0.941
自若,fear,0.172
自如,joy,0.606
自如,trust,0.516
自愧不如,joy,0.234
自愧不如,sadness,0.273
自豪,joy,0.516
自负,disgust,0.445
自动更正,anger,0.015
自动,trust,0.508
自大的,disgust,0.422
自闭症,trust,0.273
自白书,anticipation,0.406
自白书,fear,0.266
自白书,sadness,0.281
自白书,surprise,0.453
自白书,trust,0.516
自白,fear,0.225
自白,trust,0.508
滋扰,anger,0.406
资源,joy,0.288
资源,trust,0.43
资格,sadness,0.375
资不抵债,fear,0.406
资不抵债,sadness,0.422
资不抵债,trust,0.289
卓越,disgust,0.141
卓越,joy,0.818
卓越,surprise,0.5
卓越,trust,0.727
卓绝,anticipation,0.469
卓绝,fear,0.297
卓绝,joy,0.424
卓绝,trust,0.508
捉拿,surprise,0.492
准时,anticipation,0.414
准时,trust,0.57
准确性,anticipation,0.445
准确性,joy,0.5
准确性,surprise,0.414
准确性,trust,0.477
准确,trust,0.625
准将,trust,0.414
准备就绪,anticipation,0.695
准备就绪,joy,0.473
准备就绪,trust,0.547
准备好出发,fear,0.172
准备,anticipation,0.633
准备,trust,0.703
追求,joy,0.176
追求,trust,0.398
追,fear,0.516
壮丽,anticipation,0.57
壮丽,joy,0.797
